Peak ID,A Height,A Volume,B Height,B Volume
133,13565039.0,4239715271.4573283,13803307.585809458,3847619385.2632647
134,6859425.0,3894217015.384043,7320703.197292106,2828997835.1500278
135,8340977.0,3491987532.6503415,8288888.34850865,2998698374.1372347
136,11069413.0,3791150412.3332973,12097755.439147616,3948652766.2645955
137,31950344.0,15764480727.804306,28482025.79201793,10939039755.420553
138,9425459.0,3332537008.5110893,9093462.284762079,2989889846.871449
139,11423758.0,3951826858.7644563,10598239.289354594,2574492894.728077
140,13327954.0,4520380039.265966,12792480.755394071,3835004435.4862585
141,17345926.0,6057699653.030723,16878706.355075255,4945824486.979576
142,13148866.0,5863920507.50819,12655320.60350559,5024510514.631567
143,10909565.0,4241899698.366028,11671160.090296669,5015509973.340713
144,9154813.0,3814011530.4717793,9543532.383831814,3172847032.20674
145,11075252.0,3636905753.5188017,9905164.802505918,5001875445.82578
146,14295562.0,4789566681.268765,12604840.497129703,4352575808.730009
147,17175790.0,7237125834.364043,18214229.52876042,7250221266.303581
148,7317138.5,2684564520.5639806,7086876.960879649,2625422448.281976
149,10290505.0,3114833667.228802,11778944.8996962,3507630282.3971863
150,9649008.0,3293265309.456932,8109867.019044367,3178830636.7505007
151,14803072.0,5724191260.743009,14887424.887929171,4252162934.699347
152,16006996.0,5565734921.913425,15760899.86430305,6612134253.7269
153,21713070.0,5390525171.797351,20916716.124668013,5053594850.118307
154,18645312.0,5123178722.304406,18040585.718548756,4499857872.043727
155,18793822.0,5350143721.555136,17334807.40387921,6886422197.304434
156,9903020.0,5053841686.425155,9840312.511857392,10746953932.6676
157,12699287.0,3737900497.6562843,12027302.159308085,4492720423.28746
158,8285189.0,2493805782.0147834,7389022.55830823,2027891077.3744829
159,12059876.0,3084344488.3095245,11304617.90562333,3931560618.9034905
160,11444953.0,4213483654.663725,12249363.36072907,3574255870.2146688
161,9815736.0,4094183852.6458907,6259860.179711156,2140905474.974972
162,30807552.0,11005745622.230616,31373012.56727633,9629313823.685284
163,10299957.0,3881889683.5122786,11259117.67346264,5774536918.78057
164,21443938.0,8017934813.970788,19847083.837231006,7220613329.162029
165,37829536.0,16354286805.144695,34977089.72504115,18129929000.845802
167,16719216.0,7214892306.444885,14900473.779625487,11251532887.460003
168,8655146.0,2625049574.606075,9164794.108182909,5288998317.571908
169,15896059.0,7118426536.348219,14077416.469497653,6667023694.835378
170,7533135.0,3723066740.881357,7776720.992589605,4631820054.44215
171,8406653.0,3022993751.8653636,9413995.404988552,2153578640.4703074
173,5743905.0,2803042296.7298775,6450579.174553135,5712247875.084226
174,7637215.0,2685771566.7563114,8130803.632757078,2673236317.8811717
175,6127681.0,2652675107.504084,6411732.102543349,2434561993.23567
176,7332393.0,2456242552.147538,7408892.212609238,2371116905.260954
177,15974874.0,6818809286.454111,15794281.234069824,6648709210.710017
178,10811785.0,3794696084.7439637,9712164.55204292,3920981765.8427653
179,12520731.0,4127810821.321115,11535380.19390998,3823876152.635051
